date,content,username
2021-03-06 05:00:04+00:00,"I'm inviting you to start investing in #crypto with Voyager. 

🚨Download the app and trade $100 to get $25 of free Bitcoin + 7% interest on $VGX 🚨

Use code WXSJ45 or this link to claim your $BTC:

https://t.co/W1fdNOJGEm

$DOGE $BQX $ETH $ADA $BNB $BTT $GME  #CryptoCurrency https://t.co/NfvBN4qMS0",thadougie9
2021-03-06 05:00:02+00:00,"5650A370 :参戦ID
参加者募集！
Lv120 グリームニル
https://t.co/lRifekGVYt",gme_22
2021-03-06 04:59:56+00:00,"🎶
Come gather 'round people
Wherever you roam
And admit that the waters
Around you have grown
🎶

$GME

https://t.co/J7E3sSMjE0",ferdousbhai
2021-03-06 04:59:34+00:00,"$GME Trade Plan: 

Long if above 121
Trigger 141 in up market
Target
148
168
185
195",victoriousBEYEG
2021-03-06 04:59:15+00:00,where are you guessing $amc will jump to when everything is said and done. I’d love to see $1000 however bc im relatively new to this and do not fully understand the squeeze from A-Z i will say i think we reach $300’s. What about you? $nndm $bngo $sndl $tlry $gme $pltr #amc #gme,ystrdys
2021-03-06 04:58:46+00:00,With one do you think you are....$GME $AMC @barstooltrading just wondering https://t.co/vfYSPgQCMd,benderprofitbox
2021-03-06 04:58:46+00:00,"Alphabet, Citigroup, Target: Stocks That Defined the Week - $GOOG, $C, $KSS, $TGT, $RKT, $GME, $ZM, $MSFT - https://t.co/IT0koMtKUA
#Stockmarket #Stockmarketnews #stocksinnews #Alphabet #Citigroup #StockXpo #news",StockXpo
2021-03-06 04:58:45+00:00,@BuyGmeamc idk if I should average down on my bleeding amc or open up mew position at gme 😩,RudiWolmarans
2021-03-06 04:58:21+00:00,@ellobo522 @JeffAmazonX I'm just happy to keep the train going. My $GME DD withdrawal is going to hit me hard this weekend. https://t.co/8t5tdUd0Ch,JackMac06991634
2021-03-06 04:58:12+00:00,@elonmusk Elon please wait for out stimmys to come in and we the people ask that you dont make egod a dollar til the HF pay us from #GME,Marquis22284803
2021-03-06 04:57:54+00:00,@Sato5hi_White @realMeetKevin @chamath @vladtenev Haha this guess success is incredible. Just cuz GME brought him a slurry if new subscribers doesnt mean he wasnt popular before.,DavidCl28932106
2021-03-06 04:57:38+00:00,@Explicit_TL Que delicia 🤤🤤🤤,RaulGme
